step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
212,TRANSFER,4953893.08,C728984460,4953893.08,4953893.08,C639921569,0.0,0.0,1,1
250,TRANSFER,1343002.08,C1100582606,1343002.08,1343002.08,C1147517658,0.0,0.0,1,1
279,TRANSFER,536624.41,C1035541766,536624.41,536624.41,C1100697970,0.0,0.0,1,1
387,TRANSFER,4892193.09,C908544136,4892193.09,4892193.09,C891140444,0.0,0.0,1,1
425,TRANSFER,10000000.0,C689608084,19585040.37,19585040.37,C1392803603,0.0,0.0,1,1
425,TRANSFER,9585040.37,C452586515,19585040.37,19585040.37,C1109166882,0.0,0.0,1,1
554,TRANSFER,3576297.1,C193696150,3576297.1,3576297.1,C484597480,0.0,0.0,1,1
586,TRANSFER,353874.22,C1684585475,353874.22,353874.22,C1770418982,0.0,0.0,1,1
617,TRANSFER,2542664.27,C786455622,2542664.27,2542664.27,C661958277,0.0,0.0,1,1
646,TRANSFER,10000000.0,C19004745,10399045.08,10399045.08,C1806199534,0.0,0.0,1,1
646,TRANSFER,399045.08,C724693370,10399045.08,10399045.08,C1909486199,0.0,0.0,1,1
671,TRANSFER,3441041.46,C917414431,3441041.46,3441041.46,C1082139865,0.0,0.0,1,1
702,TRANSFER,3171085.59,C1892216157,3171085.59,3171085.59,C1308068787,0.0,0.0,1,1
730,TRANSFER,10000000.0,C2140038573,17316255.05,17316255.05,C1395467927,0.0,0.0,1,1
730,TRANSFER,7316255.05,C1869569059,17316255.05,17316255.05,C1861208726,0.0,0.0,1,1
741,TRANSFER,5674547.89,C992223106,5674547.89,5674547.89,C1366804249,0.0,0.0,1,1
136,PAYMENT,7186.45,C569572613,0.0,0.0,M1369517511,0.0,0.0,0,0
236,PAYMENT,3259.83,C918995984,5005.0,1745.17,M454509542,0.0,0.0,0,0
375,TRANSFER,403634.07,C1657098471,0.0,0.0,C1446549123,899613.4,1303247.48,0,0
189,PAYMENT,4316.87,C434921570,780857.0,776540.13,M174417176,0.0,0.0,0,0
353,CASH_IN,257564.58,C1668239457,5530185.33,5787749.91,C1485661687,7099482.44,6841917.87,0,0
181,CASH_IN,399520.15,C2050166108,99012.0,498532.15,C1758771240,269296.12,0.0,0,0
397,CASH_OUT,160201.74,C930495180,435209.74,275008.0,C1252115900,319408.55,479610.29,0,0
381,PAYMENT,1682.41,C1013748779,0.0,0.0,M39648320,0.0,0.0,0,0
120,DEBIT,2299.74,C1423244033,117201.0,114901.26,C1974710610,1341654.24,1343953.99,0,0
540,PAYMENT,292.13,C420778991,0.0,0.0,M1187103735,0.0,0.0,0,0
42,PAYMENT,7462.06,C432538696,0.0,0.0,M1364378387,0.0,0.0,0,0
185,PAYMENT,30949.98,C530879588,460799.5,429849.53,M1797747748,0.0,0.0,0,0
709,CASH_OUT,47763.39,C120160492,11112.0,0.0,C1076564251,745752.79,793516.19,0,0
17,TRANSFER,542083.9,C212356843,450539.47,0.0,C1432469355,2478229.56,3216812.39,0,0
352,CASH_OUT,13263.96,C1502644094,0.0,0.0,C68757793,18120.2,31384.16,0,0
349,PAYMENT,61776.99,C1821734824,213811.0,152034.01,M33733938,0.0,0.0,0,0
717,CASH_OUT,39466.13,C550391980,35107.0,0.0,C1070538319,0.0,39466.13,0,0
